time,light,sound
12-5-17:24:10:1,56,48
12-5-17:24:10:2,56,26
12-5-17:24:10:3,56,25
12-5-17:24:10:4,55,11
12-5-17:24:10:5,55,32
12-5-17:24:10:6,56,15
12-5-17:24:10:7,56,55
12-5-17:24:10:8,56,20
12-5-17:24:10:9,56,13
12-5-17:24:11:10,56,13
12-5-17:24:11:1,56,67
12-5-17:24:11:2,56,23
12-5-17:24:11:3,56,27
12-5-17:24:11:4,56,50
12-5-17:24:11:5,56,16
12-5-17:24:11:6,56,67
12-5-17:24:11:7,56,21
12-5-17:24:11:8,56,12
12-5-17:24:11:9,56,16
12-5-17:24:12:10,57,10
12-5-17:24:12:1,55,11
12-5-17:24:12:2,55,9
12-5-17:24:12:3,57,14
12-5-17:24:12:4,57,9
12-5-17:24:12:5,55,9
12-5-17:24:12:6,56,9
12-5-17:24:12:7,56,9
12-5-17:24:12:8,55,11
12-5-17:24:12:9,56,15
12-5-17:24:13:10,57,9
12-5-17:24:13:1,56,25
12-5-17:24:13:2,56,38
12-5-17:24:13:3,57,15
12-5-17:24:13:4,56,21
12-5-17:24:13:5,56,24
12-5-17:24:13:6,56,20
12-5-17:24:13:7,56,20
12-5-17:24:13:8,55,19
12-5-17:24:13:9,56,29
12-5-17:24:14:10,56,30
12-5-17:24:14:1,56,11
12-5-17:24:14:2,56,45
12-5-17:24:14:3,56,39
12-5-17:24:14:4,56,17
12-5-17:24:14:5,56,10
12-5-17:24:14:6,56,10
12-5-17:24:14:7,57,15
12-5-17:24:14:8,55,17
12-5-17:24:14:9,56,8
12-5-17:24:15:10,56,10
12-5-17:24:15:1,56,8
12-5-17:24:15:2,56,22
12-5-17:24:15:3,56,18
12-5-17:24:15:4,56,18
12-5-17:24:15:5,56,64
12-5-17:24:15:6,56,19
12-5-17:24:15:7,56,16
12-5-17:24:15:8,56,39
12-5-17:24:15:9,56,39
12-5-17:24:16:10,56,14
12-5-17:24:16:1,57,52
12-5-17:24:16:2,56,61
12-5-17:24:16:3,57,33
12-5-17:24:16:4,56,27
12-5-17:24:16:5,56,19
12-5-17:24:16:6,56,25
12-5-17:24:16:7,56,51
12-5-17:24:16:8,56,36
12-5-17:24:16:9,56,48
12-5-17:24:17:10,56,30
12-5-17:24:17:1,56,13
12-5-17:24:17:2,55,14
12-5-17:24:17:3,56,48
12-5-17:24:17:4,55,101
12-5-17:24:17:5,56,40
12-5-17:24:17:6,56,18
12-5-17:24:17:7,56,33
12-5-17:24:17:8,56,56
12-5-17:24:17:9,55,30
12-5-17:24:18:10,56,52
12-5-17:24:18:1,56,37
12-5-17:24:18:2,56,99
12-5-17:24:18:3,57,63
12-5-17:24:18:4,55,38
12-5-17:24:18:5,56,117
12-5-17:24:18:6,56,38
12-5-17:24:18:7,56,33
12-5-17:24:18:8,57,30
12-5-17:24:18:9,55,16
12-5-17:24:19:10,55,29
12-5-17:24:19:1,56,39
12-5-17:24:19:2,56,35
12-5-17:24:19:3,57,43
12-5-17:24:19:4,55,14
12-5-17:24:19:5,56,14
12-5-17:24:19:6,56,64
12-5-17:24:19:7,56,17
12-5-17:24:19:8,56,11
12-5-17:24:19:9,55,34
12-5-17:24:20:10,56,36
12-5-17:24:20:1,56,13
12-5-17:24:20:2,55,64
12-5-17:24:20:3,56,19
12-5-17:24:20:4,56,19
12-5-17:24:20:5,56,12
12-5-17:24:20:6,55,13
12-5-17:24:20:7,56,9
12-5-17:24:20:8,56,9
12-5-17:24:20:9,55,9
12-5-17:24:21:10,55,15
12-5-17:24:21:1,55,15
12-5-17:24:21:2,56,14
12-5-17:24:21:3,56,14
12-5-17:24:21:4,56,8
12-5-17:24:21:5,56,8
12-5-17:24:21:6,55,12
12-5-17:24:21:7,55,8
12-5-17:24:21:8,55,11
12-5-17:24:21:9,55,11
12-5-17:24:22:10,55,8
12-5-17:24:22:1,56,13
12-5-17:24:22:2,55,8
12-5-17:24:22:3,55,12
12-5-17:24:22:4,56,14
12-5-17:24:22:5,56,14
12-5-17:24:22:6,56,14
12-5-17:24:22:7,55,10
12-5-17:24:22:8,55,12
12-5-17:24:22:9,55,8
12-5-17:24:23:10,55,9
12-5-17:24:23:1,55,9
12-5-17:24:23:2,55,11
12-5-17:24:23:3,55,8
12-5-17:24:23:4,55,11
12-5-17:24:23:5,55,15
12-5-17:24:23:6,55,11
12-5-17:24:23:7,55,12
12-5-17:24:23:8,55,8
12-5-17:24:23:9,55,11
12-5-17:24:24:10,55,8
12-5-17:24:24:1,55,11
12-5-17:24:24:2,55,8
12-5-17:24:24:3,55,20
12-5-17:24:24:4,55,10
12-5-17:24:24:5,54,9
12-5-17:24:24:6,55,22
12-5-17:24:24:7,55,10
12-5-17:24:24:8,55,9
12-5-17:24:24:9,55,13
12-5-17:24:25:10,55,9
12-5-17:24:25:1,55,9
12-5-17:24:25:2,55,7
12-5-17:24:25:3,55,8
12-5-17:24:25:4,54,11
12-5-17:24:25:5,55,8
12-5-17:24:25:6,55,9
12-5-17:24:25:7,55,8
12-5-17:24:25:8,55,9
12-5-17:24:25:9,55,10
12-5-17:24:26:10,54,9
12-5-17:24:26:1,55,12
12-5-17:24:26:2,55,8
12-5-17:24:26:3,55,10
12-5-17:24:26:4,55,8
12-5-17:24:26:5,55,10
12-5-17:24:26:6,55,11
12-5-17:24:26:7,55,8
12-5-17:24:26:8,55,10
12-5-17:24:26:9,55,10
12-5-17:24:27:10,56,10
12-5-17:24:27:1,55,12
12-5-17:24:27:2,55,8
12-5-17:24:27:3,54,8
12-5-17:24:27:4,55,14
12-5-17:24:27:5,55,8
12-5-17:24:27:6,56,11
12-5-17:24:27:7,54,16
12-5-17:24:27:8,55,19
12-5-17:24:27:9,55,8
12-5-17:24:28:10,55,21
12-5-17:24:28:1,55,10
12-5-17:24:28:2,55,9
12-5-17:24:28:3,55,8
12-5-17:24:28:4,55,9
12-5-17:24:28:5,55,8
12-5-17:24:28:6,55,23
12-5-17:24:28:7,55,10
12-5-17:24:28:8,55,10
12-5-17:24:28:9,55,9
12-5-17:24:29:10,55,10
12-5-17:24:29:1,54,8
12-5-17:24:29:2,55,8
12-5-17:24:29:3,55,7
12-5-17:24:29:4,55,9
12-5-17:24:29:5,55,17
12-5-17:24:29:6,55,9
12-5-17:24:29:7,55,8
12-5-17:24:29:8,55,9
12-5-17:24:29:9,56,8
12-5-17:24:30:10,55,12
12-5-17:24:30:1,55,9
12-5-17:24:30:2,55,14
12-5-17:24:30:3,55,8
12-5-17:24:30:4,54,16
12-5-17:24:30:5,55,9
12-5-17:24:30:6,54,9
12-5-17:24:30:7,55,12
12-5-17:24:30:8,56,9
12-5-17:24:30:9,55,10
12-5-17:24:31:10,55,12
12-5-17:24:31:1,54,9
12-5-17:24:31:2,55,10
12-5-17:24:31:3,55,8
12-5-17:24:31:4,55,9
12-5-17:24:31:5,54,10
12-5-17:24:31:6,54,10
12-5-17:24:31:7,55,8
12-5-17:24:31:8,54,9
12-5-17:24:31:9,54,9
12-5-17:24:32:10,54,9
12-5-17:24:32:1,54,9
12-5-17:24:32:2,54,11
12-5-17:24:32:3,55,10
12-5-17:24:32:4,54,9
12-5-17:24:32:5,55,10
12-5-17:24:32:6,54,8
12-5-17:24:32:7,54,9
12-5-17:24:32:8,54,9
12-5-17:24:32:9,54,9
12-5-17:24:33:10,54,8
12-5-17:24:33:1,54,10
12-5-17:24:33:2,53,9
12-5-17:24:33:3,55,8
12-5-17:24:33:4,54,9
12-5-17:24:33:5,54,10
12-5-17:24:33:6,54,9
12-5-17:24:33:7,55,14
12-5-17:24:33:8,55,24
12-5-17:24:33:9,54,12
12-5-17:24:34:10,55,18
12-5-17:24:34:1,54,23
12-5-17:24:34:2,54,40
12-5-17:24:34:3,54,34
12-5-17:24:34:4,55,33
12-5-17:24:34:5,54,12
12-5-17:24:34:6,54,12
12-5-17:24:34:7,55,22
12-5-17:24:34:8,55,9
12-5-17:24:34:9,54,19
12-5-17:24:35:10,54,16
12-5-17:24:35:1,53,27
12-5-17:24:35:2,55,31
12-5-17:24:35:3,54,11
12-5-17:24:35:4,54,16
12-5-17:24:35:5,54,13
12-5-17:24:35:6,54,13
12-5-17:24:35:7,54,12
12-5-17:24:35:8,54,12
12-5-17:24:35:9,55,43
12-5-17:24:36:10,55,43
12-5-17:24:36:1,54,23
12-5-17:24:36:2,54,14
12-5-17:24:36:3,54,14
12-5-17:24:36:4,54,11
12-5-17:24:36:5,54,11
12-5-17:24:36:6,54,12
12-5-17:24:36:7,54,17
12-5-17:24:36:8,54,9
12-5-17:24:36:9,54,13
12-5-17:24:37:10,54,8
12-5-17:24:37:1,54,9
12-5-17:24:37:2,54,10
12-5-17:24:37:3,54,10
12-5-17:24:37:4,54,8
12-5-17:24:37:5,54,9
12-5-17:24:37:6,53,12
12-5-17:24:37:7,53,10
12-5-17:24:37:8,54,9
12-5-17:24:37:9,53,8
12-5-17:24:38:10,54,11
12-5-17:24:38:1,54,14
12-5-17:24:38:2,53,9
12-5-17:24:38:3,53,14
12-5-17:24:38:4,54,22
12-5-17:24:38:5,54,15
12-5-17:24:38:6,54,8
12-5-17:24:38:7,54,14
12-5-17:24:38:8,54,9
12-5-17:24:38:9,54,9
12-5-17:24:39:10,54,12
12-5-17:24:39:1,53,8
12-5-17:24:39:2,53,8
12-5-17:24:39:3,54,11
12-5-17:24:39:4,54,8
12-5-17:24:39:5,54,19
12-5-17:24:39:6,54,28
