time,light,sound
12-5-17:24:33:1,27,16
12-5-17:24:33:2,26,17
12-5-17:24:33:3,27,19
12-5-17:24:33:4,28,12
12-5-17:24:33:5,29,12
12-5-17:24:33:6,29,16
12-5-17:24:33:7,30,18
12-5-17:24:33:8,30,24
12-5-17:24:33:9,31,13
12-5-17:24:34:10,30,24
12-5-17:24:34:1,30,12
12-5-17:24:34:2,31,15
12-5-17:24:34:3,29,16
12-5-17:24:34:4,28,15
12-5-17:24:34:5,29,18
12-5-17:24:34:6,30,12
12-5-17:24:34:7,29,15
12-5-17:24:34:8,29,15
12-5-17:24:34:9,31,13
12-5-17:24:35:10,31,17
12-5-17:24:35:1,32,13
12-5-17:24:35:2,32,15
12-5-17:24:35:3,32,14
12-5-17:24:35:4,30,11
12-5-17:24:35:5,29,12
12-5-17:24:35:6,31,15
12-5-17:24:35:7,30,16
12-5-17:24:35:8,32,18
12-5-17:24:35:9,33,13
12-5-17:24:36:10,34,14
12-5-17:24:36:1,34,16
12-5-17:24:36:2,34,16
12-5-17:24:36:3,34,13
12-5-17:24:36:4,34,25
12-5-17:24:36:5,34,14
12-5-17:24:36:6,34,18
12-5-17:24:36:7,33,15
12-5-17:24:36:8,33,17
12-5-17:24:36:9,34,23
12-5-17:24:37:10,34,19
12-5-17:24:37:1,34,20
12-5-17:24:37:2,35,29
12-5-17:24:37:3,33,21
12-5-17:24:37:4,35,48
12-5-17:24:37:5,34,21
12-5-17:24:37:6,34,27
12-5-17:24:37:7,34,32
12-5-17:24:37:8,34,36
12-5-17:24:37:9,34,44
12-5-17:24:38:10,34,35
12-5-17:24:38:1,34,41
12-5-17:24:38:2,34,40
12-5-17:24:38:3,34,47
12-5-17:24:38:4,34,45
12-5-17:24:38:5,34,36
12-5-17:24:38:6,34,35
12-5-17:24:38:7,34,41
12-5-17:24:38:8,34,41
12-5-17:24:38:9,33,54
12-5-17:24:39:10,34,48
12-5-17:24:39:1,34,23
12-5-17:24:39:2,34,29
12-5-17:24:39:3,34,52
12-5-17:24:39:4,33,31
12-5-17:24:39:5,34,19
12-5-17:24:39:6,34,23
12-5-17:24:39:7,34,28
12-5-17:24:39:8,34,26
12-5-17:24:39:9,34,20
12-5-17:24:40:10,35,22
12-5-17:24:40:1,33,23
12-5-17:24:40:2,33,16
12-5-17:24:40:3,34,22
12-5-17:24:40:4,35,31
12-5-17:24:40:5,33,17
12-5-17:24:40:6,33,20
12-5-17:24:40:7,34,16
12-5-17:24:40:8,34,23
12-5-17:24:40:9,35,14
12-5-17:24:41:10,34,12
12-5-17:24:41:1,34,18
12-5-17:24:41:2,33,15
12-5-17:24:41:3,33,12
12-5-17:24:41:4,33,14
12-5-17:24:41:5,33,20
12-5-17:24:41:6,33,28
12-5-17:24:41:7,33,18
12-5-17:24:41:8,33,23
12-5-17:24:41:9,32,22
12-5-17:24:42:10,33,19
12-5-17:24:42:1,33,19
12-5-17:24:42:2,33,19
12-5-17:24:42:3,34,29
12-5-17:24:42:4,32,15
12-5-17:24:42:5,33,12
12-5-17:24:42:6,33,13
12-5-17:24:42:7,33,17
12-5-17:24:42:8,33,15
12-5-17:24:42:9,32,13
12-5-17:24:43:10,34,17
12-5-17:24:43:1,34,13
12-5-17:24:43:2,35,14
12-5-17:24:43:3,35,17
12-5-17:24:43:4,34,12
12-5-17:24:43:5,35,13
12-5-17:24:43:6,36,17
12-5-17:24:43:7,36,16
12-5-17:24:43:8,35,13
12-5-17:24:43:9,34,11
12-5-17:24:44:10,36,11
12-5-17:24:44:1,37,25
12-5-17:24:44:2,35,15
12-5-17:24:44:3,35,14
12-5-17:24:44:4,36,28
12-5-17:24:44:5,37,16
12-5-17:24:44:6,37,12
12-5-17:24:44:7,37,14
12-5-17:24:44:8,37,14
12-5-17:24:44:9,37,21
12-5-17:24:45:10,36,16
12-5-17:24:45:1,37,17
12-5-17:24:45:2,37,22
12-5-17:24:45:3,37,15
12-5-17:24:45:4,37,18
12-5-17:24:45:5,36,14
12-5-17:24:45:6,36,18
12-5-17:24:45:7,37,14
12-5-17:24:45:8,37,26
12-5-17:24:45:9,37,37
12-5-17:24:46:10,37,24
12-5-17:24:46:1,35,21
12-5-17:24:46:2,35,13
12-5-17:24:46:3,35,18
12-5-17:24:46:4,35,12
12-5-17:24:46:5,36,44
12-5-17:24:46:6,35,15
12-5-17:24:46:7,34,12
12-5-17:24:46:8,34,23
12-5-17:24:46:9,36,27
12-5-17:24:47:10,35,30
12-5-17:24:47:1,34,12
12-5-17:24:47:2,34,30
12-5-17:24:47:3,34,23
12-5-17:24:47:4,35,21
12-5-17:24:47:5,35,18
12-5-17:24:47:6,35,18
12-5-17:24:47:7,36,15
12-5-17:24:47:8,34,20
12-5-17:24:47:9,36,19
12-5-17:24:48:10,36,16
12-5-17:24:48:1,35,16
12-5-17:24:48:2,36,13
12-5-17:24:48:3,35,14
12-5-17:24:48:4,36,10
12-5-17:24:48:5,35,19
12-5-17:24:48:6,35,16
12-5-17:24:48:7,34,12
12-5-17:24:48:8,35,11
12-5-17:24:48:9,35,10
12-5-17:24:49:10,35,15
12-5-17:24:49:1,35,13
12-5-17:24:49:2,35,15
12-5-17:24:49:3,35,12
12-5-17:24:49:4,35,15
12-5-17:24:49:5,35,15
12-5-17:24:49:6,36,25
12-5-17:24:49:7,35,28
12-5-17:24:49:8,34,16
12-5-17:24:49:9,35,13
12-5-17:24:50:10,35,15
12-5-17:24:50:1,35,10
12-5-17:24:50:2,35,21
12-5-17:24:50:3,36,18
12-5-17:24:50:4,35,28
12-5-17:24:50:5,36,20
12-5-17:24:50:6,36,38
12-5-17:24:50:7,36,47
12-5-17:24:50:8,36,25
12-5-17:24:50:9,35,22
12-5-17:24:51:10,35,15
12-5-17:24:51:1,35,18
12-5-17:24:51:2,36,27
12-5-17:24:51:3,35,26
12-5-17:24:51:4,35,18
12-5-17:24:51:5,36,30
12-5-17:24:51:6,35,18
12-5-17:24:51:7,35,18
12-5-17:24:51:8,35,21
12-5-17:24:51:9,36,26
12-5-17:24:52:10,35,18
12-5-17:24:52:1,36,24
12-5-17:24:52:2,35,20
12-5-17:24:52:3,36,23
12-5-17:24:52:4,36,19
12-5-17:24:52:5,36,31
12-5-17:24:52:6,35,20
12-5-17:24:52:7,36,43
12-5-17:24:52:8,36,26
12-5-17:24:52:9,35,29
12-5-17:24:53:10,35,30
12-5-17:24:53:1,35,27
12-5-17:24:53:2,35,27
12-5-17:24:53:3,34,28
12-5-17:24:53:4,35,16
12-5-17:24:53:5,35,15
12-5-17:24:53:6,35,15
12-5-17:24:53:7,36,29
12-5-17:24:53:8,34,24
12-5-17:24:53:9,35,26
12-5-17:24:54:10,34,16
12-5-17:24:54:1,35,27
12-5-17:24:54:2,35,27
12-5-17:24:54:3,34,25
12-5-17:24:54:4,34,27
12-5-17:24:54:5,34,29
12-5-17:24:54:6,35,35
12-5-17:24:54:7,34,32
12-5-17:24:54:8,34,37
12-5-17:24:54:9,35,41
12-5-17:24:55:10,35,24
12-5-17:24:55:1,35,41
12-5-17:24:55:2,35,31
12-5-17:24:55:3,36,34
12-5-17:24:55:4,36,41
12-5-17:24:55:5,35,31
12-5-17:24:55:6,36,33
12-5-17:24:55:7,35,27
12-5-17:24:55:8,35,44
12-5-17:24:55:9,36,45
12-5-17:24:56:10,35,32
12-5-17:24:56:1,34,30
12-5-17:24:56:2,35,25
12-5-17:24:56:3,35,30
12-5-17:24:56:4,35,28
12-5-17:24:56:5,35,40
12-5-17:24:56:6,35,36
12-5-17:24:56:7,35,23
12-5-17:24:56:8,36,55
12-5-17:24:56:9,35,26
12-5-17:24:57:10,35,33
12-5-17:24:57:1,36,24
12-5-17:24:57:2,35,27
12-5-17:24:57:3,35,45
12-5-17:24:57:4,35,23
12-5-17:24:57:5,35,34
12-5-17:24:57:6,36,23
12-5-17:24:57:7,35,36
12-5-17:24:57:8,34,28
12-5-17:24:57:9,34,21
12-5-17:24:58:10,33,20
12-5-17:24:58:1,33,23
12-5-17:24:58:2,31,30
12-5-17:24:58:3,33,14
12-5-17:24:58:4,32,19
12-5-17:24:58:5,33,18
12-5-17:24:58:6,33,18
12-5-17:24:58:7,33,12
12-5-17:24:58:8,35,22
12-5-17:24:58:9,35,13
12-5-17:24:59:10,35,20
12-5-17:24:59:1,36,19
12-5-17:24:59:2,36,14
12-5-17:24:59:3,36,24
12-5-17:24:59:4,36,17
12-5-17:24:59:5,36,19
12-5-17:24:59:6,36,15
12-5-17:24:59:7,35,17
12-5-17:24:59:8,35,25
12-5-17:24:59:9,36,12
12-5-17:25:0:10,35,18
12-5-17:25:0:1,35,18
12-5-17:25:0:2,36,25
12-5-17:25:0:3,36,25
12-5-17:25:0:4,36,17
12-5-17:25:0:5,36,15
12-5-17:25:0:6,36,30
12-5-17:25:0:7,36,21
12-5-17:25:0:8,36,19
12-5-17:25:0:9,36,20
12-5-17:25:1:10,36,12
12-5-17:25:1:1,36,18
12-5-17:25:1:2,36,15
12-5-17:25:1:3,36,15
12-5-17:25:1:4,36,16
12-5-17:25:1:5,36,21
12-5-17:25:1:6,36,15
12-5-17:25:1:7,36,13
12-5-17:25:1:8,36,19
12-5-17:25:1:9,35,17
12-5-17:25:2:10,35,13
12-5-17:25:2:1,34,16
12-5-17:25:2:2,34,14
12-5-17:25:2:3,34,14
12-5-17:25:2:4,33,18
12-5-17:25:2:5,32,13
12-5-17:25:2:6,32,9
12-5-17:25:2:7,31,21
12-5-17:25:2:8,33,11
12-5-17:25:2:9,32,13
12-5-17:25:3:10,32,15
12-5-17:25:3:1,31,12
12-5-17:25:3:2,32,14
12-5-17:25:3:3,31,15
12-5-17:25:3:4,32,20
12-5-17:25:3:5,32,13
12-5-17:25:3:6,32,11
12-5-17:25:3:7,33,18
12-5-17:25:3:8,33,11
12-5-17:25:3:9,33,15
12-5-17:25:4:10,33,18
12-5-17:25:4:1,33,14
12-5-17:25:4:2,34,15
12-5-17:25:4:3,34,16
12-5-17:25:4:4,34,18
12-5-17:25:4:5,35,18
12-5-17:25:4:6,34,17
12-5-17:25:4:7,34,16
12-5-17:25:4:8,35,13
12-5-17:25:4:9,33,15
12-5-17:25:5:10,33,12
12-5-17:25:5:1,34,14
12-5-17:25:5:2,33,21
12-5-17:25:5:3,34,22
12-5-17:25:5:4,34,24
12-5-17:25:5:5,33,18
12-5-17:25:5:6,33,24
12-5-17:25:5:7,33,12
12-5-17:25:5:8,33,25
12-5-17:25:5:9,35,20
12-5-17:25:6:10,35,15
12-5-17:25:6:1,36,19
12-5-17:25:6:2,35,29
12-5-17:25:6:3,36,16
12-5-17:25:6:4,36,14
12-5-17:25:6:5,36,20
12-5-17:25:6:6,37,18
12-5-17:25:6:7,37,14
12-5-17:25:6:8,36,16
12-5-17:25:6:9,37,12
12-5-17:25:7:10,37,15
12-5-17:25:7:1,36,24
12-5-17:25:7:2,35,19
12-5-17:25:7:3,34,28
12-5-17:25:7:4,34,25
12-5-17:25:7:5,33,23
12-5-17:25:7:6,33,13
12-5-17:25:7:7,32,24
12-5-17:25:7:8,32,15
12-5-17:25:7:9,32,14
12-5-17:25:8:10,32,14
12-5-17:25:8:1,34,17
12-5-17:25:8:2,32,22
12-5-17:25:8:3,32,22
12-5-17:25:8:4,32,14
12-5-17:25:8:5,32,12
12-5-17:25:8:6,33,11
12-5-17:25:8:7,32,13
12-5-17:25:8:8,32,13
12-5-17:25:8:9,33,15
12-5-17:25:9:10,34,12
12-5-17:25:9:1,35,14
12-5-17:25:9:2,35,17
12-5-17:25:9:3,36,12
12-5-17:25:9:4,36,14
12-5-17:25:9:5,36,11
12-5-17:25:9:6,35,23
12-5-17:25:9:7,36,24
12-5-17:25:9:8,35,20
12-5-17:25:9:9,35,16
12-5-17:25:10:10,34,21
12-5-17:25:10:1,34,15
12-5-17:25:10:2,35,26
12-5-17:25:10:3,34,24
12-5-17:25:10:4,35,25
12-5-17:25:10:5,35,21
12-5-17:25:10:6,35,20
12-5-17:25:10:7,36,24
12-5-17:25:10:8,35,17
12-5-17:25:10:9,36,26
12-5-17:25:11:10,35,23
12-5-17:25:11:1,36,44
12-5-17:25:11:2,36,40
12-5-17:25:11:3,36,42
12-5-17:25:11:4,36,43
12-5-17:25:11:5,35,37
12-5-17:25:11:6,36,57
12-5-17:25:11:7,37,47
12-5-17:25:11:8,37,47
12-5-17:25:11:9,38,40
12-5-17:25:12:10,36,54
12-5-17:25:12:1,36,33
12-5-17:25:12:2,37,41
12-5-17:25:12:3,37,46
12-5-17:25:12:4,37,49
12-5-17:25:12:5,38,39
12-5-17:25:12:6,36,39
12-5-17:25:12:7,37,30
12-5-17:25:12:8,38,23
12-5-17:25:12:9,39,19
12-5-17:25:13:10,37,26
12-5-17:25:13:1,37,26
12-5-17:25:13:2,38,29
12-5-17:25:13:3,36,21
12-5-17:25:13:4,39,24
12-5-17:25:13:5,36,16
12-5-17:25:13:6,36,22
12-5-17:25:13:7,36,25
12-5-17:25:13:8,35,22
12-5-17:25:13:9,37,27
12-5-17:25:14:10,36,22
12-5-17:25:14:1,35,31
12-5-17:25:14:2,36,32
12-5-17:25:14:3,36,26
