time,light,sound
12-5-17:24:30:1,59,10
12-5-17:24:30:2,58,11
12-5-17:24:30:3,58,10
12-5-17:24:30:4,59,10
12-5-17:24:30:5,59,13
12-5-17:24:30:6,58,15
12-5-17:24:30:7,59,12
12-5-17:24:30:8,59,14
12-5-17:24:30:9,59,13
12-5-17:24:31:10,59,16
12-5-17:24:31:1,59,14
12-5-17:24:31:2,58,14
12-5-17:24:31:3,59,9
12-5-17:24:31:4,59,10
12-5-17:24:31:5,59,23
12-5-17:24:31:6,59,10
12-5-17:24:31:7,59,14
12-5-17:24:31:8,59,27
12-5-17:24:31:9,58,9
12-5-17:24:32:10,58,17
12-5-17:24:32:1,59,18
12-5-17:24:32:2,58,15
12-5-17:24:32:3,59,9
12-5-17:24:32:4,59,16
12-5-17:24:32:5,59,14
12-5-17:24:32:6,59,14
12-5-17:24:32:7,59,15
12-5-17:24:32:8,58,14
12-5-17:24:32:9,58,26
12-5-17:24:33:10,58,18
12-5-17:24:33:1,59,14
12-5-17:24:33:2,58,23
12-5-17:24:33:3,59,12
12-5-17:24:33:4,58,23
12-5-17:24:33:5,58,26
12-5-17:24:33:6,58,19
12-5-17:24:33:7,59,12
12-5-17:24:33:8,58,11
12-5-17:24:33:9,58,14
12-5-17:24:34:10,58,15
12-5-17:24:34:1,58,18
12-5-17:24:34:2,58,9
12-5-17:24:34:3,58,15
12-5-17:24:34:4,58,12
12-5-17:24:34:5,58,13
12-5-17:24:34:6,58,10
12-5-17:24:34:7,58,14
12-5-17:24:34:8,58,27
12-5-17:24:34:9,58,26
12-5-17:24:35:10,58,28
12-5-17:24:35:1,58,19
12-5-17:24:35:2,58,28
12-5-17:24:35:3,58,21
12-5-17:24:35:4,58,10
12-5-17:24:35:5,58,12
12-5-17:24:35:6,58,10
12-5-17:24:35:7,58,18
12-5-17:24:35:8,58,13
12-5-17:24:35:9,58,13
12-5-17:24:36:10,58,15
12-5-17:24:36:1,58,15
12-5-17:24:36:2,57,9
12-5-17:24:36:3,57,9
12-5-17:24:36:4,58,10
12-5-17:24:36:5,58,18
12-5-17:24:36:6,58,17
12-5-17:24:36:7,58,14
12-5-17:24:36:8,58,13
12-5-17:24:36:9,58,11
12-5-17:24:37:10,58,9
12-5-17:24:37:1,58,15
12-5-17:24:37:2,58,17
12-5-17:24:37:3,57,9
12-5-17:24:37:4,57,12
12-5-17:24:37:5,57,11
12-5-17:24:37:6,57,19
12-5-17:24:37:7,57,14
12-5-17:24:37:8,56,14
12-5-17:24:37:9,56,13
12-5-17:24:38:10,57,16
12-5-17:24:38:1,56,11
12-5-17:24:38:2,56,21
12-5-17:24:38:3,56,16
12-5-17:24:38:4,56,11
12-5-17:24:38:5,56,15
12-5-17:24:38:6,56,12
12-5-17:24:38:7,56,11
12-5-17:24:38:8,56,9
12-5-17:24:38:9,56,17
12-5-17:24:39:10,56,14
12-5-17:24:39:1,56,25
12-5-17:24:39:2,56,17
12-5-17:24:39:3,56,12
12-5-17:24:39:4,56,19
12-5-17:24:39:5,56,17
12-5-17:24:39:6,57,11
12-5-17:24:39:7,57,14
12-5-17:24:39:8,57,26
12-5-17:24:39:9,56,16
12-5-17:24:40:10,57,11
12-5-17:24:40:1,56,12
12-5-17:24:40:2,56,10
12-5-17:24:40:3,54,27
12-5-17:24:40:4,53,15
12-5-17:24:40:5,51,15
12-5-17:24:40:6,49,21
12-5-17:24:40:7,48,10
12-5-17:24:40:8,42,19
12-5-17:24:40:9,43,23
12-5-17:24:41:10,44,15
12-5-17:24:41:1,46,12
12-5-17:24:41:2,46,10
12-5-17:24:41:3,47,13
12-5-17:24:41:4,47,17
12-5-17:24:41:5,47,14
12-5-17:24:41:6,47,18
12-5-17:24:41:7,47,21
12-5-17:24:41:8,47,34
12-5-17:24:41:9,47,13
12-5-17:24:42:10,47,13
12-5-17:24:42:1,50,12
12-5-17:24:42:2,53,20
12-5-17:24:42:3,54,11
12-5-17:24:42:4,54,15
12-5-17:24:42:5,54,30
12-5-17:24:42:6,54,16
12-5-17:24:42:7,54,14
12-5-17:24:42:8,53,15
12-5-17:24:42:9,53,30
12-5-17:24:43:10,54,24
12-5-17:24:43:1,53,24
12-5-17:24:43:2,53,15
12-5-17:24:43:3,52,22
12-5-17:24:43:4,50,14
12-5-17:24:43:5,48,14
12-5-17:24:43:6,48,26
12-5-17:24:43:7,48,22
12-5-17:24:43:8,48,15
12-5-17:24:43:9,49,11
12-5-17:24:44:10,49,28
12-5-17:24:44:1,48,11
12-5-17:24:44:2,49,10
12-5-17:24:44:3,50,17
12-5-17:24:44:4,49,12
12-5-17:24:44:5,49,16
12-5-17:24:44:6,50,27
12-5-17:24:44:7,50,21
12-5-17:24:44:8,50,19
12-5-17:24:44:9,50,12
12-5-17:24:45:10,49,16
12-5-17:24:45:1,50,15
12-5-17:24:45:2,49,16
12-5-17:24:45:3,49,14
12-5-17:24:45:4,49,12
12-5-17:24:45:5,49,11
12-5-17:24:45:6,50,21
12-5-17:24:45:7,49,28
12-5-17:24:45:8,49,22
12-5-17:24:45:9,49,10
12-5-17:24:46:10,49,16
12-5-17:24:46:1,49,14
12-5-17:24:46:2,49,15
12-5-17:24:46:3,48,25
12-5-17:24:46:4,49,17
12-5-17:24:46:5,50,18
12-5-17:24:46:6,51,32
12-5-17:24:46:7,51,23
12-5-17:24:46:8,51,27
12-5-17:24:46:9,50,21
12-5-17:24:47:10,50,11
12-5-17:24:47:1,49,16
12-5-17:24:47:2,49,20
12-5-17:24:47:3,49,19
12-5-17:24:47:4,49,19
12-5-17:24:47:5,48,13
12-5-17:24:47:6,47,15
12-5-17:24:47:7,46,16
12-5-17:24:47:8,46,13
12-5-17:24:47:9,45,32
12-5-17:24:48:10,45,218
12-5-17:24:48:1,44,596
12-5-17:24:48:2,44,237
12-5-17:24:48:3,45,348
12-5-17:24:48:4,46,317
12-5-17:24:48:5,46,162
12-5-17:24:48:6,47,254
12-5-17:24:48:7,47,102
12-5-17:24:48:8,47,45
12-5-17:24:48:9,47,20
12-5-17:24:49:10,47,16
12-5-17:24:49:1,47,29
12-5-17:24:49:2,48,31
12-5-17:24:49:3,48,15
12-5-17:24:49:4,48,13
12-5-17:24:49:5,48,12
12-5-17:24:49:6,48,9
12-5-17:24:49:7,48,12
12-5-17:24:49:8,48,18
12-5-17:24:49:9,48,31
12-5-17:24:50:10,48,18
12-5-17:24:50:1,48,14
12-5-17:24:50:2,49,14
12-5-17:24:50:3,48,12
12-5-17:24:50:4,48,24
12-5-17:24:50:5,47,22
12-5-17:24:50:6,48,15
12-5-17:24:50:7,48,41
12-5-17:24:50:8,49,26
12-5-17:24:50:9,50,22
12-5-17:24:51:10,50,23
12-5-17:24:51:1,51,28
12-5-17:24:51:2,51,12
12-5-17:24:51:3,52,15
12-5-17:24:51:4,52,28
12-5-17:24:51:5,52,18
12-5-17:24:51:6,52,25
12-5-17:24:51:7,52,24
12-5-17:24:51:8,52,22
12-5-17:24:51:9,52,24
12-5-17:24:52:10,52,25
12-5-17:24:52:1,52,19
12-5-17:24:52:2,52,17
12-5-17:24:52:3,51,26
12-5-17:24:52:4,52,31
12-5-17:24:52:5,52,28
12-5-17:24:52:6,53,33
12-5-17:24:52:7,53,12
12-5-17:24:52:8,53,12
12-5-17:24:52:9,54,15
12-5-17:24:53:10,53,10
12-5-17:24:53:1,53,16
12-5-17:24:53:2,53,31
12-5-17:24:53:3,53,17
12-5-17:24:53:4,53,24
12-5-17:24:53:5,53,11
12-5-17:24:53:6,54,13
12-5-17:24:53:7,53,27
12-5-17:24:53:8,54,15
12-5-17:24:53:9,53,27
12-5-17:24:54:10,53,16
12-5-17:24:54:1,53,17
12-5-17:24:54:2,53,17
12-5-17:24:54:3,53,10
