time,light,sound
12-5-17:26:37:1,28,11
12-5-17:26:37:2,28,11
12-5-17:26:37:3,28,11
12-5-17:26:37:4,29,14
12-5-17:26:37:5,27,12
12-5-17:26:37:6,27,12
12-5-17:26:37:7,28,13
12-5-17:26:37:8,28,8
12-5-17:26:37:9,28,13
12-5-17:26:38:10,27,11
12-5-17:26:38:1,28,9
12-5-17:26:38:2,28,9
12-5-17:26:38:3,28,11
12-5-17:26:38:4,29,11
12-5-17:26:38:5,28,16
12-5-17:26:38:6,28,12
12-5-17:26:38:7,28,11
12-5-17:26:38:8,28,9
12-5-17:26:38:9,28,12
12-5-17:26:39:10,28,23
12-5-17:26:39:1,27,9
12-5-17:26:39:2,28,15
12-5-17:26:39:3,27,14
12-5-17:26:39:4,28,11
12-5-17:26:39:5,28,10
12-5-17:26:39:6,28,22
12-5-17:26:39:7,27,16
12-5-17:26:39:8,28,11
12-5-17:26:39:9,28,15
12-5-17:26:40:10,28,16
12-5-17:26:40:1,27,11
12-5-17:26:40:2,28,10
12-5-17:26:40:3,28,19
12-5-17:26:40:4,28,17
12-5-17:26:40:5,27,14
12-5-17:26:40:6,28,10
12-5-17:26:40:7,28,10
12-5-17:26:40:8,28,9
12-5-17:26:40:9,28,10
12-5-17:26:41:10,28,8
12-5-17:26:41:1,28,11
12-5-17:26:41:2,27,15
12-5-17:26:41:3,29,13
12-5-17:26:41:4,29,22
12-5-17:26:41:5,28,16
12-5-17:26:41:6,28,10
12-5-17:26:41:7,28,10
12-5-17:26:41:8,27,14
12-5-17:26:41:9,28,15
12-5-17:26:42:10,28,12
12-5-17:26:42:1,30,11
12-5-17:26:42:2,27,10
12-5-17:26:42:3,28,9
12-5-17:26:42:4,29,11
12-5-17:26:42:5,27,11
12-5-17:26:42:6,28,19
12-5-17:26:42:7,28,11
12-5-17:26:42:8,28,11
12-5-17:26:42:9,28,13
12-5-17:26:43:10,27,18
12-5-17:26:43:1,28,14
12-5-17:26:43:2,28,12
12-5-17:26:43:3,29,12
12-5-17:26:43:4,27,11
12-5-17:26:43:5,28,11
12-5-17:26:43:6,28,9
12-5-17:26:43:7,28,24
12-5-17:26:43:8,28,12
12-5-17:26:43:9,29,13
12-5-17:26:44:10,28,21
12-5-17:26:44:1,28,10
12-5-17:26:44:2,28,11
12-5-17:26:44:3,29,14
12-5-17:26:44:4,27,8
