time,light,sound
12-5-17:24:50:1,121,27
12-5-17:24:50:2,122,14
12-5-17:24:50:3,126,19
12-5-17:24:50:4,133,10
12-5-17:24:50:5,140,30
12-5-17:24:50:6,148,16
12-5-17:24:50:7,151,17
12-5-17:24:50:8,153,15
12-5-17:24:50:9,155,10
12-5-17:24:51:10,157,20
12-5-17:24:51:1,157,12
12-5-17:24:51:2,158,12
12-5-17:24:51:3,159,12
12-5-17:24:51:4,158,24
12-5-17:24:51:5,160,15
12-5-17:24:51:6,161,15
12-5-17:24:51:7,162,15
12-5-17:24:51:8,163,12
12-5-17:24:51:9,164,19
12-5-17:24:52:10,163,15
12-5-17:24:52:1,162,11
12-5-17:24:52:2,162,19
12-5-17:24:52:3,161,15
12-5-17:24:52:4,158,13
12-5-17:24:52:5,157,15
12-5-17:24:52:6,157,9
12-5-17:24:52:7,159,17
12-5-17:24:52:8,160,13
12-5-17:24:52:9,163,12
12-5-17:24:53:10,166,14
12-5-17:24:53:1,167,11
12-5-17:24:53:2,167,15
12-5-17:24:53:3,166,15
12-5-17:24:53:4,165,17
12-5-17:24:53:5,164,11
12-5-17:24:53:6,162,15
12-5-17:24:53:7,161,11
12-5-17:24:53:8,159,10
12-5-17:24:53:9,161,10
12-5-17:24:54:10,163,17
12-5-17:24:54:1,166,22
12-5-17:24:54:2,168,14
12-5-17:24:54:3,168,13
12-5-17:24:54:4,168,10
12-5-17:24:54:5,167,13
12-5-17:24:54:6,166,14
12-5-17:24:54:7,165,16
12-5-17:24:54:8,162,10
12-5-17:24:54:9,160,22
12-5-17:24:55:10,160,11
12-5-17:24:55:1,161,15
12-5-17:24:55:2,163,11
12-5-17:24:55:3,166,19
12-5-17:24:55:4,168,25
12-5-17:24:55:5,168,12
12-5-17:24:55:6,168,17
12-5-17:24:55:7,167,18
12-5-17:24:55:8,166,11
12-5-17:24:55:9,163,12
12-5-17:24:56:10,161,12
12-5-17:24:56:1,160,13
12-5-17:24:56:2,159,22
12-5-17:24:56:3,161,11
12-5-17:24:56:4,163,10
12-5-17:24:56:5,165,12
12-5-17:24:56:6,167,10
12-5-17:24:56:7,168,15
12-5-17:24:56:8,168,27
12-5-17:24:56:9,166,12
12-5-17:24:57:10,165,12
12-5-17:24:57:1,164,14
12-5-17:24:57:2,161,12
12-5-17:24:57:3,160,9
12-5-17:24:57:4,160,11
12-5-17:24:57:5,161,9
12-5-17:24:57:6,164,13
12-5-17:24:57:7,166,15
12-5-17:24:57:8,167,13
12-5-17:24:57:9,167,10
12-5-17:24:58:10,167,11
12-5-17:24:58:1,167,14
12-5-17:24:58:2,165,17
12-5-17:24:58:3,163,17
12-5-17:24:58:4,161,14
12-5-17:24:58:5,159,13
12-5-17:24:58:6,160,16
12-5-17:24:58:7,162,11
12-5-17:24:58:8,164,15
12-5-17:24:58:9,166,9
12-5-17:24:59:10,167,12
12-5-17:24:59:1,168,11
12-5-17:24:59:2,167,12
12-5-17:24:59:3,166,11
12-5-17:24:59:4,164,15
12-5-17:24:59:5,162,26
12-5-17:24:59:6,160,13
12-5-17:24:59:7,159,15
12-5-17:24:59:8,160,12
12-5-17:24:59:9,161,16
12-5-17:25:0:10,164,13
12-5-17:25:0:1,166,15
12-5-17:25:0:2,167,14
12-5-17:25:0:3,166,10
12-5-17:25:0:4,165,17
12-5-17:25:0:5,165,12
12-5-17:25:0:6,163,11
12-5-17:25:0:7,161,17
12-5-17:25:0:8,159,12
12-5-17:25:0:9,158,16
12-5-17:25:1:10,161,10
12-5-17:25:1:1,163,11
12-5-17:25:1:2,165,15
12-5-17:25:1:3,167,12
12-5-17:25:1:4,167,12
12-5-17:25:1:5,167,13
12-5-17:25:1:6,166,13
12-5-17:25:1:7,164,19
12-5-17:25:1:8,162,17
12-5-17:25:1:9,160,16
12-5-17:25:2:10,160,16
12-5-17:25:2:1,159,11
12-5-17:25:2:2,160,11
12-5-17:25:2:3,162,36
12-5-17:25:2:4,165,16
12-5-17:25:2:5,166,16
12-5-17:25:2:6,167,14
12-5-17:25:2:7,167,16
12-5-17:25:2:8,165,30
12-5-17:25:2:9,164,14
12-5-17:25:3:10,162,11
12-5-17:25:3:1,160,11
12-5-17:25:3:2,159,10
12-5-17:25:3:3,159,11
12-5-17:25:3:4,160,12
12-5-17:25:3:5,163,13
12-5-17:25:3:6,165,12
12-5-17:25:3:7,167,18
12-5-17:25:3:8,167,13
12-5-17:25:3:9,166,16
12-5-17:25:4:10,166,23
12-5-17:25:4:1,164,9
12-5-17:25:4:2,162,13
12-5-17:25:4:3,160,10
12-5-17:25:4:4,159,14
12-5-17:25:4:5,160,17
12-5-17:25:4:6,162,14
12-5-17:25:4:7,164,27
12-5-17:25:4:8,166,18
12-5-17:25:4:9,167,14
12-5-17:25:5:10,167,16
12-5-17:25:5:1,166,14
12-5-17:25:5:2,165,15
12-5-17:25:5:3,163,11
12-5-17:25:5:4,161,14
12-5-17:25:5:5,159,14
12-5-17:25:5:6,159,10
12-5-17:25:5:7,161,12
12-5-17:25:5:8,163,11
12-5-17:25:5:9,165,17
12-5-17:25:6:10,167,10
12-5-17:25:6:1,167,19
12-5-17:25:6:2,167,11
12-5-17:25:6:3,166,10
12-5-17:25:6:4,165,17
12-5-17:25:6:5,162,21
12-5-17:25:6:6,160,14
12-5-17:25:6:7,159,8
12-5-17:25:6:8,159,14
12-5-17:25:6:9,161,16
12-5-17:25:7:10,164,21
12-5-17:25:7:1,166,13
12-5-17:25:7:2,167,12
12-5-17:25:7:3,167,14
12-5-17:25:7:4,166,14
12-5-17:25:7:5,165,13
12-5-17:25:7:6,164,16
12-5-17:25:7:7,161,12
12-5-17:25:7:8,160,19
12-5-17:25:7:9,158,11
12-5-17:25:8:10,160,13
12-5-17:25:8:1,161,13
12-5-17:25:8:2,164,11
12-5-17:25:8:3,166,12
12-5-17:25:8:4,167,14
12-5-17:25:8:5,168,12
12-5-17:25:8:6,167,13
12-5-17:25:8:7,166,13
12-5-17:25:8:8,164,12
12-5-17:25:8:9,162,12
12-5-17:25:9:10,160,11
12-5-17:25:9:1,159,18
12-5-17:25:9:2,160,12
12-5-17:25:9:3,162,10
12-5-17:25:9:4,164,11
12-5-17:25:9:5,166,19
12-5-17:25:9:6,167,11
12-5-17:25:9:7,166,15
12-5-17:25:9:8,166,14
12-5-17:25:9:9,165,13
12-5-17:25:10:10,164,10
12-5-17:25:10:1,162,19
12-5-17:25:10:2,160,12
12-5-17:25:10:3,158,17
12-5-17:25:10:4,159,12
12-5-17:25:10:5,161,15
12-5-17:25:10:6,163,12
12-5-17:25:10:7,165,12
12-5-17:25:10:8,166,10
12-5-17:25:10:9,166,10
12-5-17:25:11:10,165,14
12-5-17:25:11:1,164,21
12-5-17:25:11:2,163,14
12-5-17:25:11:3,160,12
12-5-17:25:11:4,158,10
12-5-17:25:11:5,157,11
12-5-17:25:11:6,158,12
12-5-17:25:11:7,159,10
12-5-17:25:11:8,161,26
12-5-17:25:11:9,163,17
12-5-17:25:12:10,164,27
12-5-17:25:12:1,165,13
12-5-17:25:12:2,164,15
12-5-17:25:12:3,163,12
12-5-17:25:12:4,163,15
12-5-17:25:12:5,161,12
12-5-17:25:12:6,159,13
12-5-17:25:12:7,157,12
12-5-17:25:12:8,157,13
12-5-17:25:12:9,159,15
12-5-17:25:13:10,161,14
12-5-17:25:13:1,164,15
12-5-17:25:13:2,166,32
12-5-17:25:13:3,166,12
12-5-17:25:13:4,165,10
12-5-17:25:13:5,165,12
12-5-17:25:13:6,163,12
12-5-17:25:13:7,162,16
12-5-17:25:13:8,159,12
12-5-17:25:13:9,158,13
12-5-17:25:14:10,157,15
12-5-17:25:14:1,159,13
12-5-17:25:14:2,161,12
12-5-17:25:14:3,163,12
12-5-17:25:14:4,164,13
12-5-17:25:14:5,165,20
12-5-17:25:14:6,165,13
12-5-17:25:14:7,164,14
12-5-17:25:14:8,164,20
12-5-17:25:14:9,162,12
12-5-17:25:15:10,160,14
12-5-17:25:15:1,158,13
12-5-17:25:15:2,158,17
12-5-17:25:15:3,159,13
12-5-17:25:15:4,160,12
12-5-17:25:15:5,162,12
12-5-17:25:15:6,165,12
12-5-17:25:15:7,166,14
12-5-17:25:15:8,166,14
12-5-17:25:15:9,166,16
12-5-17:25:16:10,165,12
12-5-17:25:16:1,163,12
12-5-17:25:16:2,161,14
12-5-17:25:16:3,159,12
12-5-17:25:16:4,158,11
12-5-17:25:16:5,159,10
12-5-17:25:16:6,160,11
12-5-17:25:16:7,160,11
12-5-17:25:16:8,163,13
12-5-17:25:16:9,165,14
12-5-17:25:17:10,166,11
12-5-17:25:17:1,167,14
12-5-17:25:17:2,166,10
12-5-17:25:17:3,165,19
12-5-17:25:17:4,164,11
12-5-17:25:17:5,162,11
12-5-17:25:17:6,160,13
12-5-17:25:17:7,159,14
12-5-17:25:17:8,158,14
12-5-17:25:17:9,160,11
12-5-17:25:18:10,162,12
12-5-17:25:18:1,164,16
12-5-17:25:18:2,166,12
12-5-17:25:18:3,167,16
12-5-17:25:18:4,167,11
12-5-17:25:18:5,166,13
12-5-17:25:18:6,165,21
12-5-17:25:18:7,163,15
12-5-17:25:18:8,161,18
12-5-17:25:18:9,159,11
12-5-17:25:19:10,159,15
12-5-17:25:19:1,160,23
12-5-17:25:19:2,162,12
12-5-17:25:19:3,164,14
12-5-17:25:19:4,166,12
12-5-17:25:19:5,166,14
12-5-17:25:19:6,165,16
12-5-17:25:19:7,164,12
12-5-17:25:19:8,163,15
12-5-17:25:19:9,162,11
12-5-17:25:20:10,160,18
12-5-17:25:20:1,158,16
12-5-17:25:20:2,157,12
12-5-17:25:20:3,156,12
12-5-17:25:20:4,158,15
12-5-17:25:20:5,161,15
12-5-17:25:20:6,163,11
12-5-17:25:20:7,165,13
12-5-17:25:20:8,165,13
12-5-17:25:20:9,163,13
12-5-17:25:21:10,162,15
12-5-17:25:21:1,161,10
12-5-17:25:21:2,160,11
12-5-17:25:21:3,158,13
12-5-17:25:21:4,157,13
12-5-17:25:21:5,155,10
12-5-17:25:21:6,156,12
12-5-17:25:21:7,159,10
12-5-17:25:21:8,161,17
12-5-17:25:21:9,163,40
12-5-17:25:22:10,164,14
12-5-17:25:22:1,164,27
12-5-17:25:22:2,163,11
12-5-17:25:22:3,162,19
12-5-17:25:22:4,160,9
12-5-17:25:22:5,158,11
12-5-17:25:22:6,156,14
12-5-17:25:22:7,155,11
12-5-17:25:22:8,154,16
12-5-17:25:22:9,155,14
12-5-17:25:23:10,157,13
12-5-17:25:23:1,158,12
12-5-17:25:23:2,160,16
12-5-17:25:23:3,162,22
12-5-17:25:23:4,163,11
12-5-17:25:23:5,165,12
12-5-17:25:23:6,168,13
12-5-17:25:23:7,169,10
12-5-17:25:23:8,169,11
12-5-17:25:23:9,167,12
12-5-17:25:24:10,167,14
12-5-17:25:24:1,167,26
12-5-17:25:24:2,168,11
12-5-17:25:24:3,169,13
12-5-17:25:24:4,170,15
12-5-17:25:24:5,172,35
12-5-17:25:24:6,172,12
12-5-17:25:24:7,172,10
12-5-17:25:24:8,172,18
12-5-17:25:24:9,173,15
12-5-17:25:25:10,172,12
12-5-17:25:25:1,170,14
12-5-17:25:25:2,169,11
12-5-17:25:25:3,169,80
12-5-17:25:25:4,169,26
12-5-17:25:25:5,170,46
12-5-17:25:25:6,172,16
12-5-17:25:25:7,175,15
12-5-17:25:25:8,176,24
12-5-17:25:25:9,175,36
12-5-17:25:26:10,174,23
12-5-17:25:26:1,175,10
12-5-17:25:26:2,174,13
12-5-17:25:26:3,172,15
12-5-17:25:26:4,169,58
12-5-17:25:26:5,169,20
12-5-17:25:26:6,172,24
12-5-17:25:26:7,174,16
12-5-17:25:26:8,175,142
12-5-17:25:26:9,175,50
12-5-17:25:27:10,175,19
12-5-17:25:27:1,176,15
12-5-17:25:27:2,175,28
12-5-17:25:27:3,173,34
12-5-17:25:27:4,170,15
12-5-17:25:27:5,167,14
12-5-17:25:27:6,165,14
12-5-17:25:27:7,164,13
12-5-17:25:27:8,164,301
12-5-17:25:27:9,165,108
12-5-17:25:28:10,165,41
12-5-17:25:28:1,165,15
12-5-17:25:28:2,165,13
