time,light,sound
12-5-17:24:52:1,17,10
12-5-17:24:52:2,17,8
12-5-17:24:52:3,17,10
12-5-17:24:52:4,18,11
12-5-17:24:52:5,17,14
12-5-17:24:52:6,17,9
12-5-17:24:52:7,17,26
12-5-17:24:52:8,17,9
12-5-17:24:52:9,17,11
12-5-17:24:53:10,16,14
12-5-17:24:53:1,17,9
12-5-17:24:53:2,17,10
12-5-17:24:53:3,17,9
12-5-17:24:53:4,17,8
12-5-17:24:53:5,17,9
12-5-17:24:53:6,17,11
12-5-17:24:53:7,17,11
12-5-17:24:53:8,16,12
12-5-17:24:53:9,17,8
12-5-17:24:54:10,16,12
12-5-17:24:54:1,17,9
12-5-17:24:54:2,17,10
12-5-17:24:54:3,17,9
12-5-17:24:54:4,17,10
12-5-17:24:54:5,17,14
12-5-17:24:54:6,17,8
12-5-17:24:54:7,16,13
12-5-17:24:54:8,17,9
12-5-17:24:54:9,17,9
12-5-17:24:55:10,17,10
12-5-17:24:55:1,17,11
12-5-17:24:55:2,17,8
12-5-17:24:55:3,17,8
12-5-17:24:55:4,16,10
12-5-17:24:55:5,17,11
12-5-17:24:55:6,17,9
12-5-17:24:55:7,17,14
12-5-17:24:55:8,17,10
12-5-17:24:55:9,17,10
12-5-17:24:56:10,17,10
12-5-17:24:56:1,17,10
12-5-17:24:56:2,17,9
12-5-17:24:56:3,17,12
12-5-17:24:56:4,17,9
12-5-17:24:56:5,16,9
12-5-17:24:56:6,17,9
12-5-17:24:56:7,16,11
12-5-17:24:56:8,17,10
12-5-17:24:56:9,16,8
12-5-17:24:57:10,17,10
12-5-17:24:57:1,16,11
12-5-17:24:57:2,17,12
12-5-17:24:57:3,16,10
12-5-17:24:57:4,17,10
12-5-17:24:57:5,17,9
12-5-17:24:57:6,17,7
12-5-17:24:57:7,17,8
12-5-17:24:57:8,17,11
12-5-17:24:57:9,17,10
12-5-17:24:58:10,17,9
12-5-17:24:58:1,16,9
12-5-17:24:58:2,17,12
12-5-17:24:58:3,17,9
12-5-17:24:58:4,16,10
12-5-17:24:58:5,18,9
12-5-17:24:58:6,16,9
12-5-17:24:58:7,17,8
12-5-17:24:58:8,17,10
12-5-17:24:58:9,17,9
12-5-17:24:59:10,16,10
12-5-17:24:59:1,17,10
12-5-17:24:59:2,17,9
12-5-17:24:59:3,16,9
12-5-17:24:59:4,16,8
12-5-17:24:59:5,17,10
12-5-17:24:59:6,16,9
12-5-17:24:59:7,17,10
12-5-17:24:59:8,18,13
12-5-17:24:59:9,17,8
12-5-17:25:0:10,17,10
12-5-17:25:0:1,17,13
12-5-17:25:0:2,17,10
12-5-17:25:0:3,17,10
12-5-17:25:0:4,17,10
12-5-17:25:0:5,16,8
12-5-17:25:0:6,16,11
12-5-17:25:0:7,16,9
12-5-17:25:0:8,16,10
12-5-17:25:0:9,16,16
12-5-17:25:1:10,17,12
12-5-17:25:1:1,16,16
12-5-17:25:1:2,17,9
12-5-17:25:1:3,17,9
12-5-17:25:1:4,17,11
12-5-17:25:1:5,17,11
12-5-17:25:1:6,17,11
12-5-17:25:1:7,18,8
12-5-17:25:1:8,18,9
12-5-17:25:1:9,18,10
12-5-17:25:2:10,17,12
12-5-17:25:2:1,18,11
12-5-17:25:2:2,17,14
12-5-17:25:2:3,18,10
12-5-17:25:2:4,18,8
12-5-17:25:2:5,16,13
12-5-17:25:2:6,17,11
12-5-17:25:2:7,18,16
12-5-17:25:2:8,17,8
12-5-17:25:2:9,17,8
12-5-17:25:3:10,18,9
12-5-17:25:3:1,18,9
12-5-17:25:3:2,19,12
12-5-17:25:3:3,18,9
12-5-17:25:3:4,18,12
12-5-17:25:3:5,17,12
12-5-17:25:3:6,18,9
12-5-17:25:3:7,18,9
12-5-17:25:3:8,18,11
12-5-17:25:3:9,18,9
12-5-17:25:4:10,17,8
12-5-17:25:4:1,17,8
12-5-17:25:4:2,18,9
12-5-17:25:4:3,17,8
12-5-17:25:4:4,17,8
12-5-17:25:4:5,18,9
12-5-17:25:4:6,17,9
12-5-17:25:4:7,18,8
12-5-17:25:4:8,18,16
12-5-17:25:4:9,17,11
12-5-17:25:5:10,17,9
12-5-17:25:5:1,17,14
12-5-17:25:5:2,17,10
12-5-17:25:5:3,17,9
12-5-17:25:5:4,17,10
12-5-17:25:5:5,17,8
12-5-17:25:5:6,18,9
12-5-17:25:5:7,17,11
12-5-17:25:5:8,18,9
12-5-17:25:5:9,17,13
12-5-17:25:6:10,18,8
12-5-17:25:6:1,17,9
12-5-17:25:6:2,19,8
12-5-17:25:6:3,18,11
12-5-17:25:6:4,18,8
12-5-17:25:6:5,17,12
12-5-17:25:6:6,16,9
12-5-17:25:6:7,16,9
12-5-17:25:6:8,17,10
12-5-17:25:6:9,16,14
12-5-17:25:7:10,16,9
12-5-17:25:7:1,16,10
12-5-17:25:7:2,16,10
12-5-17:25:7:3,17,10
12-5-17:25:7:4,17,11
12-5-17:25:7:5,17,8
12-5-17:25:7:6,18,15
12-5-17:25:7:7,17,10
12-5-17:25:7:8,18,11
12-5-17:25:7:9,17,8
12-5-17:25:8:10,18,9
12-5-17:25:8:1,17,9
12-5-17:25:8:2,17,13
